folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczka II sem. 21_22/Algorytmy i Struktury Danych/Lab/Tytus 2019,SEM2/AiSD_Algorytmy_i_Struktury_Danych/laboratoria/pikies,9,9,9,1.0000,1.0000,9,9
Paczka II sem. 21_22/Podstawy Fizyki/2020/Ćwiczenia/zadania,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Fizyki/2020/Ćwiczenia/zadania,10,9,9,1.0000,0.9000,10,9
Paczka II sem. 21_22/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,10,9,9,1.0000,0.9000,10,9
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/8,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/8,10,9,9,1.0000,0.9000,10,9
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/02. Badanie bramek logicznych/LAB2,Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/2_BRAMKI_LOGICZNE/LAB2,12,9,9,1.0000,0.7500,12,9
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/05. Układy synchroniczne/Lab5,Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/5_SYNCHRONICZNE/LAB5,9,12,9,1.0000,0.7500,9,12
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/Kolosy,Paczki Infa/2 SEM,9,3638,9,1.0000,0.0025,9,4126
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 16/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 16/Debug,9,18,9,1.0000,0.5000,9,18
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin/Praktyka,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych/Egzamin,9,34,9,1.0000,0.2647,9,34
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Projekty/ADA/obj,Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka/Projekt/ADA/obj,9,10,9,1.0000,0.9000,9,10
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka/Kolokwia,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania/Kolokwia,57,9,9,1.0000,0.1579,57,9
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Kolokwium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Grafika Komputerowa/Kolokwium,14,9,9,1.0000,0.6429,14,9
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Kolokwium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Grafika Komputerowa/Kolokwium,10,9,9,1.0000,0.9000,10,9
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Projekt/Projekty (stare)/Projekt 3/Przykład 4 (2016)/Projekt3-Interpolacja,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Projekt/Projekty (stare)/Projekt 3/Przykład 4 (2016)/Projekt3-Interpolacja,9,13,9,1.0000,0.6923,10,14
II semestr 2024_2025/Numerical Methods/Lectures/Wykłady PL 2018,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Slajdy (2018),8,10,8,1.0000,0.8000,8,10
Paczka II sem. 21_22/Algorytmy i Struktury Danych/materiały,SEM2/AiSD_Algorytmy_i_Struktury_Danych,8,210,8,1.0000,0.0381,8,212
Paczka II sem. 21_22/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,10,8,8,1.0000,0.8000,10,8
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/ProjektJAVA/out/production/ProjektJAVA/proj/java/saves,Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/ProjektJAVA/src/proj/java/saves,9,8,8,1.0000,0.8889,9,8
Paczki INFA/Paczka 2 sem. 23_24/Jezyk Angielski/podreczniki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Jezyk Angielski/podreczniki,8,71,8,1.0000,0.1127,8,71
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii,Paczki Infa/2 SEM/(PEiM) Podstawy Elektroniki i Metrologii,202,8,8,1.0000,0.0396,207,8
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki/Lab 2/Zadanie 4,9,8,8,1.0000,0.8889,9,8
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 17/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 17/Debug,8,17,8,1.0000,0.4706,8,17
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna/Kolokwium/stare,Paczki Infa/3 SEM/(FW) Fizyka Współczesna/Kolokwium/stare,9,8,8,1.0000,0.8889,9,8
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/laboratorium/laboratorium/Debug,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/laboratorium/laboratorium/Debug,8,8,8,1.0000,1.0000,10,10
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Projekt/Projekty (stare)/Projekt 3/Przykład 4 (2016)/Projekt3-Interpolacja/Projekt3-Interpolacja,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Projekt/Projekty (stare)/Projekt 3/Przykład 4 (2016)/Projekt3-Interpolacja/Projekt3-Interpolacja,8,12,8,1.0000,0.6667,9,13
III semestr 2024_2025/Databases/Exams/infa,Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin/Teoria,23,7,7,1.0000,0.3043,23,7
Paczka I sem. 22_23/Szkolenia/Normalizacja,Paczka I sem./Szkolenia/Normalizacja,38,7,7,1.0000,0.1842,38,7
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,13,7,7,1.0000,0.5385,13,7
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Metrologia/koło - opracowania pytań,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Metrologia/koło - opracowania pytań,8,7,7,1.0000,0.8750,8,7
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/04. Układy czasowe/Cudze/Lab4,Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/4_UKLADY_CZASOWE/LAB4,7,15,7,1.0000,0.4667,7,15
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 10,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 10,8,7,7,1.0000,0.8750,8,7
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 1/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 1/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 15/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 15/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 18/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 18/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 19/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 19/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 2/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 2/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 21/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 21/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 22/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 22/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 23/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 23/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 3/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 3/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 5/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 5/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 6/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 6/Debug,7,16,7,1.0000,0.4375,7,16
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin/Teoria,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych/Egzamin,7,34,7,1.0000,0.2059,7,34
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka/Projekt/Zestaw 5 (2019),Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania/Projekt/Zestaw 5 (2019),7,7,7,1.0000,1.0000,8,8
INF SEM 2/PEiM/Egzaminy,Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii,6,226,6,1.0000,0.0265,6,232
INF SEM 2/PEiM/Egzaminy,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii,6,202,6,1.0000,0.0297,6,207
Paczka I sem. 22_23/Hipertekst i Hipermedia/Laboratorium,Paczka I sem./Hipertekst i Hipermedia/Laboratorium,28,6,6,1.0000,0.2143,29,6
Paczka II sem. 21_22/Algorytmy i Struktury Danych/Lab/Goluch 2018,SEM2/AiSD_Algorytmy_i_Struktury_Danych/laboratoria/goluch,6,6,6,1.0000,1.0000,6,6
Paczka II sem. 21_22/Matematyka Dyskretna/2020/książka,Paczka II sem. 21_22/Matematyka Dyskretna/wykłady,6,8,6,1.0000,0.7500,6,8
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,13,6,6,1.0000,0.4615,13,6
Paczka II sem. 21_22/Programowanie Obiektowe/Programowanie/2020/PO,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/Programowanie/2020/PO,9,6,6,1.0000,0.6667,9,6
Paczka II sem. 21_22/Systemy Operacyjne/2020/SO/Laby/małe skrypty,Paczki INFA/Paczka 2 sem. 23_24/Systemy Operacyjne/2020/SO/Laby/małe skrypty,7,6,6,1.0000,0.8571,7,6
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,26,6,6,1.0000,0.2308,26,6
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/ewb5.12,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/ewb5.12,10,6,6,1.0000,0.6000,10,6
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,10,6,6,1.0000,0.6000,10,6
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A,6,7,6,1.0000,0.8571,6,7
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/Kolosy,Paczki Infa/2 SEM/(UC) Układy Cyfrowe/Kolosy/2023,9,6,6,1.0000,0.6667,9,6
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,17,6,6,1.0000,0.3529,17,6
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/Gotowiec 3 (2018)/lab3,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/Gotowiec 3 (2018)/lab3,6,11,6,1.0000,0.5455,6,11
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Projekty/Projekt 6/laboratorium/temat_1,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych/Projekt/Projekt 6/laboratorium/temat_1,6,6,6,1.0000,1.0000,6,11
Paczki Infa/3 SEM/Memy/Zdalne,Paczki Infa/3 SEM/Stare Paczki/PAAczka/memes,6,16,6,1.0000,0.3750,6,16
Paczki Infa/3 SEM/Memy/Zdalne,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Podstawy Analizy Algorytmów/PAAczka/memes,6,16,6,1.0000,0.3750,6,16
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Projekt/Projekty (stare)/Projekt 1/Przykład 3 (2017),Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Projekt/Projekty (stare)/Projekt 1/Przykład 3 (2017),6,18,6,1.0000,0.3333,6,18
Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Stara Paczka,Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Wykłady/Slajdy/Slajdy-(przed-2024)/C#,362,6,6,1.0000,0.0166,388,6
Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Przetwarzanie Rozproszone/Laby/Przykład 2 (2016)/setlersi/dist/run1139488697/web-files,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Przetwarzanie Rozproszone/Laby/Przykład 2 (2016)/setlersi/dist/run934282862/web-files,9,6,6,1.0000,0.6667,9,6
V semestr 2024_2025/(ETI) Tworzenie rozwiązań typu Big Data/Computer networks/archiwumNowickiWozniak/lectures/Ponumerowane,V semestr 2024_2025/(ETI) Tworzenie rozwiązań typu Big Data/Computer networks/archiwumNowickiWozniak/lectures/Woźniak,12,6,6,1.0000,0.5000,12,6
Paczka I sem. 22_23/Matematyka Elementarna/Kolokwia,Paczka I sem./Matematyka Elementarna/Kolokwia,8,5,5,1.0000,0.6250,8,5
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Elektronika/Laborki 2019,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika/Laborki 2019,8,5,5,1.0000,0.6250,8,5
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A/cw1a,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1A/cw1a,6,5,5,1.0000,0.8333,6,5
Paczka II sem. 21_22/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1C,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika/Laborki/1C,7,5,5,1.0000,0.7143,7,5
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp/Project1,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp/Project1,6,5,5,1.0000,0.8333,6,5
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,26,5,5,1.0000,0.1923,26,5
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,10,5,5,1.0000,0.5000,10,5
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych/Matematyka Dyskretna,Paczki Infa/2 SEM/(MD) Matematyka Dyskretna,133,5,5,1.0000,0.0376,141,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/2024peim,SEM2/PEiM_Podstawy_Elektroniki_i_Metrologii/laboratoria/elektronika,24,5,5,1.0000,0.2083,24,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/2024peim,SEM2/PEiM_Podstawy_Elektroniki_i_Metrologii/laboratoria/metrologia/03,24,5,5,1.0000,0.2083,24,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Elektronika,Paczki Infa/2 SEM/(PEiM) Podstawy Elektroniki i Metrologii/Elektronika,60,5,5,1.0000,0.0833,60,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Elektronika,Paczki Infa/2 SEM/(PEiM) Podstawy Elektroniki i Metrologii/Elektronika,63,5,5,1.0000,0.0794,63,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,17,5,5,1.0000,0.2941,17,5
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,6,5,5,1.0000,0.8333,6,5
Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/EXT,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/EXT,16,5,5,1.0000,0.3125,16,5
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 7/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 7/Debug,5,11,5,1.0000,0.4545,5,11
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 8/Debug,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 8/Debug,5,11,5,1.0000,0.4545,5,11
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Wykłady,Paczki Infa/3 SEM/(JP) Języki Programowania/Wykłady,7,5,5,1.0000,0.7143,7,5
Paczki INFA/Paczka 3 sem. 23_24/(PAA) Podstawy Analizy Algorytmów/Wykłady/Opracowania,Paczki Infa/3 SEM/(PAA) Podstawy Analizy Algorytmów/Opracowania,5,23,5,1.0000,0.2174,5,23
Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Stara Paczka/Wykład/C#,Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Wykłady/Slajdy/Slajdy-(przed-2024)/C#,5,6,5,1.0000,0.8333,5,6
Paczki Infa/4 SEM/(SK) Sieci Komputerowe/Stara Paczka/Książki,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Sieci Komputerowe/Książki,7,5,5,1.0000,0.7143,7,5
I semestr 2024_2025/Basics of Computer Programming/Exam/2013,Paczka I sem. 22_23/Podstawy Programowania/Egzaminy,4,29,4,1.0000,0.1379,4,29
I semestr 2024_2025/Basics of Computer Programming/Exam/2013,Paczka I sem./Podstawy Programowania/Egzaminy,4,26,4,1.0000,0.1538,4,26
I semestr 2024_2025/Basics of Computer Programming/Exam/2015,Paczka I sem. 22_23/Podstawy Programowania/Egzaminy,4,29,4,1.0000,0.1379,4,29
I semestr 2024_2025/Basics of Computer Programming/Exam/2015,Paczka I sem./Podstawy Programowania/Egzaminy,4,26,4,1.0000,0.1538,4,26
I semestr 2024_2025/Basics of Computer Programming/Exam/2016,Paczka I sem. 22_23/Podstawy Programowania/Egzaminy,4,29,4,1.0000,0.1379,4,29
I semestr 2024_2025/Basics of Computer Programming/Exam/2016,Paczka I sem./Podstawy Programowania/Egzaminy,4,26,4,1.0000,0.1538,4,26
I semestr 2024_2025/Basics of Computer Programming/Exam/2022,Paczki INFA/Paczka 1 sem. 23_24/(PP) Podstawy Programowania/Egzamin/kolo 2022,4,8,4,1.0000,0.5000,4,8
II semestr 2024_2025/Object Programming/Notes,Paczka II sem. 21_22/Programowanie Obiektowe/notatki2,6,4,4,1.0000,0.6667,6,4
III semestr 2024_2025/Databases/Exams,Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin/BD-2019-InzynieriaDanych/sql,49,4,4,1.0000,0.0816,49,4
Paczka I sem. 22_23/Algebra Liniowa/Kolokwia,Paczka I sem./Algebra Liniowa/Kolokwia,5,4,4,1.0000,0.8000,5,4
Paczka I sem. 22_23/Podstawy Programowania/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(PP) Podstawy Programowania/Egzamin/kolo 2014,29,4,4,1.0000,0.1379,29,4
Paczka I sem. 22_23/Podstawy Programowania/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(PP) Podstawy Programowania/Egzamin/kolo 2017,29,4,4,1.0000,0.1379,29,4
Paczka I sem. 22_23/Wytwarzanie Aplikacji Internetowych/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(WAI) Wytwarzania Aplikacji Internetowych/Egzamin/2016,110,4,4,1.0000,0.0364,123,4
Paczka I sem. 22_23/Wytwarzanie Aplikacji Internetowych/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(WAI) Wytwarzania Aplikacji Internetowych/Egzamin/Coś dziwnego,110,4,4,1.0000,0.0364,123,4
Paczka I sem./Algebra Liniowa/Kolokwia,Paczki INFA/Paczka 1 sem. 23_24/(AL) Algebra Liniowa/Kolokwia,4,39,4,1.0000,0.1026,4,39
Paczka I sem./Podstawy Programowania/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(PP) Podstawy Programowania/Egzamin/kolo 2014,26,4,4,1.0000,0.1538,26,4
Paczka I sem./Podstawy Programowania/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(PP) Podstawy Programowania/Egzamin/kolo 2017,26,4,4,1.0000,0.1538,26,4
Paczka I sem./Wytwarzanie Aplikacji Internetowych/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(WAI) Wytwarzania Aplikacji Internetowych/Egzamin/Coś dziwnego,17,4,4,1.0000,0.2353,17,4
Paczka II sem. 21_22/Programowanie Obiektowe/laborki/Lab 2/Zadanie 2,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki/Lab 2/Zadanie 2,5,4,4,1.0000,0.8000,5,4
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp/Project1,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp/Project1,6,4,4,1.0000,0.6667,6,4
