folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,232,213,213,1.0000,0.9181,235,215
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW,214,213,213,1.0000,0.9953,216,215
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,227,207,207,1.0000,0.9119,230,210
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,227,206,206,1.0000,0.9075,230,209
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,207,206,206,1.0000,0.9952,210,209
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna/Laby,Paczki Infa/3 SEM/(FW) Fizyka Współczesna/Laby,210,199,199,1.0000,0.9476,214,203
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,331,198,198,1.0000,0.5982,350,209
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/MODELS,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW/MODELS,178,177,177,1.0000,0.9944,181,180
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Fizyki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Fizyki,177,176,176,1.0000,0.9944,182,181
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Wykład/stare,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Wykład/stare,175,175,175,1.0000,1.0000,175,180
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Języki Programowania,194,158,158,1.0000,0.8144,224,186
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),163,157,157,1.0000,0.9632,166,160
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),163,155,155,1.0000,0.9509,166,158
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają),157,155,155,1.0000,0.9873,160,158
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/MODELS,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA/lab 6/EW/EW/MODELS,147,145,145,1.0000,0.9864,149,147
Paczki Infa/3 SEM/(GK) Grafika Komputerowa/Wykład/stare/StareSlajdyLite,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Grafika Komputerowa/Wykład/stare/StareSlajdyLite,144,144,144,1.0000,1.0000,144,149
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Podstawy Analizy Algorytmów/Kolokwia,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Podstawy Analizy Algorytmów/Kolokwia,155,144,144,1.0000,0.9290,175,163
Paczki Infa/3 SEM/(AKO) Architektura Komputerów/Stara paczka/AKO - grupa,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/AKO - grupa,131,131,131,1.0000,1.0000,131,131
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/AKO - grupa,Paczki Infa/3 SEM/(AKO) Architektura Komputerów/Stara paczka/AKO - grupa,129,131,129,1.0000,0.9847,129,131
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/AKO - grupa,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/AKO - grupa,129,131,129,1.0000,0.9847,129,131
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania,194,109,109,1.0000,0.5619,224,137
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,109,109,109,1.0000,1.0000,114,109
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Języki Programowania,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania,158,109,109,1.0000,0.6899,186,137
Paczka I sem. 22_23/Podstawy Programowania,Paczka I sem./Podstawy Programowania,112,108,108,1.0000,0.9643,136,132
Paczki INFA/Paczka 1 sem. 23_24/memy,Paczki Infa/1 SEM/memy,103,104,103,1.0000,0.9904,103,104
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka/Projekt,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Języki Programowania/Projekt,133,97,97,1.0000,0.7293,154,116
Paczki INFA/Paczka 3 sem. 23_24/(JPR) Języki programowania/Stara paczka/Projekt,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania/Projekt,133,96,96,1.0000,0.7218,154,115
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Języki Programowania/Projekt,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Języki Programowania/Projekt,97,96,96,1.0000,0.9897,116,115
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Metrologia,Paczki Infa/2 SEM,90,3638,90,1.0000,0.0247,90,4126
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Metrologia,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Elektroniki i Metrologii/Metrologia,89,90,89,1.0000,0.9889,89,90
